study_ID,title,topic,topic2,year,authors,phenotype,Notes,Mean,Min mean,Max mean,Among_SD,Within nest,test,difference,Lat,Long,Major.group,Group,Group3,Group2,Back,Water,Genus,Species,Animal,Name,Order,family
35,Characterization of thermal and hydric conditions of nesting sites of female Aspidoscelis costatus costatus (Squamata: Teiidae),Nest environment,Thermoregulation,2021,"Hernandez-Gallegos, O and Benitez-Dolores, E and Perez-Perez, A and de la Rosa-Silva, E and Granados-Gonzalez, G and Mendez-Sanchez, JF and Walker, JM ",y,,24.6,23.6,25.6,,,,,18.75475,-99.62225,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Aspidoscelis,costatus,Aspidoscelis_costatus,,,
53,Thermal and physical characteristics of the nesting habitat of New Zealand's only endemic oviparous lizard,Nest environment,Thermoregulation,2022,"Woolley, C and Hare, K and Stenhouse, V and Nelson, N ",y,,21.57,,,0.45,,,,-36.658916,175.848334,Reptile,5. Other Reptile,2. Lizard,Lizard/snake,Vertebrate,Land,Oligosoma,suteri,Oligosoma_suteri,,,
255,Effects of Incubation Temperature on Sex Ratios in Pine Snakes: Differential Vulnerability of Males and Females,Sex ratio,Evolution,1988,Burger and Zappalorti,y,1983,28,,,2.2,,,,40.072779,-74.860899,Reptile,5. Other Reptile,3. Snake,Lizard/snake,Vertebrate,Land,Pituophis,melanoleucus,Pituophis_melanoleucus,,,
255,Effects of Incubation Temperature on Sex Ratios in Pine Snakes: Differential Vulnerability of Males and Females,Sex ratio,Evolution,1988,Burger and Zappalorti,y,1985,32.1,,,2.5,,,,40.072779,-74.860899,Reptile,5. Other Reptile,3. Snake,Lizard/snake,Vertebrate,Land,Pituophis,melanoleucus,Pituophis_melanoleucus,,,
255,Effects of Incubation Temperature on Sex Ratios in Pine Snakes: Differential Vulnerability of Males and Females,Sex ratio,Evolution,1988,Burger and Zappalorti,y,1986,27.1,,,2.6,,,,40.072779,-74.860899,Reptile,5. Other Reptile,3. Snake,Lizard/snake,Vertebrate,Land,Pituophis,melanoleucus,Pituophis_melanoleucus,,,
58,Phenotypic consequences of nest-site selection in black rat snakes (Elaphe obsoleta),Nest site selection,Evolution,2004,"Blouin-Demers, G and Weatherhead, PJ and Row, JR ",n,,27.93,23.6,31.8,0.81,,27.7,0.23,44.565211,-76.324097,Reptile,5. Other Reptile,3. Snake,Lizard/snake,Vertebrate,Land,Pantherophis,obsoletus,Pantherophis_obsoletus,,,
60,Mating and nesting behavior of the eastern hognose snake (Heterodon platirhinos) in the northern portion of its range,Breeding ecology,General ecology,2005,"Cunnington, GM and Cebek, JE",n,,25.97,23.4,29.4,2.19,,,,44.522534,-80.022051,Reptile,5. Other Reptile,3. Snake,Lizard/snake,Vertebrate,Land,Heterodon,platirhinos,Heterodon_platirhinos,,,
64,Thermoregulation by a Brooding Burmese Python (Python molurus bivittatus) in Florida,Nest environment,Thermoregulation,2010,"Snow, RW and Wolf, AJ and Greeves, BW and Cherkiss, MS and Hill, R and Mazzotti, FJ",n,,29.2,,,,,,,25.7619564,-80.730899,Reptile,5. Other Reptile,3. Snake,Lizard/snake,Vertebrate,Land,Python,bivittatus,Python_bivittatus,,,
63,Agricultural by-products provide critical habitat components for cold-climate populations of an oviparous snake (Natrix natrix),Nest site selection,Evolution,2012,"Lowenborg, K and Karvemo, S and Tiwe, A and Hagman, M ",y,Compost,23,,,,,,,62.4,16.59,Reptile,5. Other Reptile,3. Snake,Lizard/snake,Vertebrate,Land,Natrix,natrix,Natrix_natrix,,,
63,Agricultural by-products provide critical habitat components for cold-climate populations of an oviparous snake (Natrix natrix),Nest site selection,Evolution,2012,"Lowenborg, K and Karvemo, S and Tiwe, A and Hagman, M ",y,Manure,26.2,,,,,,,62.4,16.59,Reptile,5. Other Reptile,3. Snake,Lizard/snake,Vertebrate,Land,Natrix,natrix,Natrix_natrix,,,
61,Female Eastern Hog-nosed Snakes (Heterodon platirhinos) choose nest sites that produce offspring with phenotypes likely to improve fitness,Offspring phenotype,Evolution,2012,"Peet-Pare, CA and Blouin-Demers, G ",n,,24.6,,,3.3,,,,42.789034,-80.463806,Reptile,5. Other Reptile,3. Snake,Lizard/snake,Vertebrate,Land,Heterodon,platirhinos,Heterodon_platirhinos,,,
