Lat,emmean,lower.HPD,upper.HPD,Major.group
29.01,23.57855354,18.95132447,28.53808584,Amphibian
29.26,23.52764321,18.9024329,28.48820383,Amphibian
29.51,23.47228298,18.25600566,27.83740374,Amphibian
29.76,23.41219063,18.21880979,27.79028976,Amphibian
30.01,23.35220721,18.16573453,27.72860116,Amphibian
30.26,23.29057909,18.09809442,27.66691256,Amphibian
30.51,23.23078537,18.03045432,27.6062285,Amphibian
30.76,23.18010139,17.96281421,27.54353535,Amphibian
31.01,23.11121966,18.01142667,27.59981715,Amphibian
31.26,23.05112736,17.93663806,27.50401352,Amphibian
31.51,22.99059332,17.93438683,27.45150382,Amphibian
31.76,22.9257455,17.86463276,27.35894001,Amphibian
32.01,22.86985695,17.78784031,27.27561167,Amphibian
32.26,22.81218894,17.71104785,27.20675755,Amphibian
32.51,22.7543499,17.71493845,27.20437307,Amphibian
32.76,22.6902697,17.65703884,27.13231791,Amphibian
33.01,22.62515539,17.59913922,27.09815313,Amphibian
33.26,22.57764382,17.53260631,27.07942518,Amphibian
33.51,22.51704645,17.06119441,26.64178092,Amphibian
33.76,22.46696417,17.00526152,26.54848519,Amphibian
34.01,22.395383,16.94932863,26.47812571,Amphibian
34.26,22.32980407,16.92761164,26.43330189,Amphibian
34.51,22.27037076,16.83746284,26.34073808,Amphibian
34.76,22.20583737,16.78152995,26.29558952,Amphibian
35.01,22.15263572,16.71104362,26.22064728,Amphibian
35.26,22.09887717,16.63722333,26.17976319,Amphibian
35.51,22.0381563,16.64092025,26.18671875,Amphibian
35.76,21.97653788,16.60561554,26.17095332,Amphibian
36.01,21.92364687,17.01190568,26.5769397,Amphibian
36.26,21.87054561,16.95966839,26.53756412,Amphibian
36.51,21.81812627,16.86035841,26.45002331,Amphibian
36.76,21.75435693,16.80776544,26.41275036,Amphibian
37.01,21.70040625,16.75240818,26.32679605,Amphibian
37.26,21.64531914,16.69384443,26.26691366,Amphibian
37.51,21.58406468,16.64169366,26.20850738,Amphibian
37.76,21.51613762,16.59186392,26.17085425,Amphibian
38.01,21.45562219,16.51594796,26.09839291,Amphibian
38.26,21.40224864,16.46926243,26.02738413,Amphibian
38.51,21.342863,16.40796169,25.96750175,Amphibian
38.76,21.28309768,16.34662049,25.90761936,Amphibian
39.01,21.2169548,16.27905875,25.8662367,Amphibian
39.26,21.15800168,16.22405945,25.83892824,Amphibian
39.51,21.10647802,16.09374925,25.73406467,Amphibian
39.76,21.05454106,16.0745937,25.70843607,Amphibian
40.01,20.9942004,15.97795003,25.61373947,Amphibian
40.26,20.92740208,15.92005041,25.54832506,Amphibian
40.51,20.87079654,15.84473752,25.47109432,Amphibian
40.76,20.81909927,15.7906566,25.4285603,Amphibian
41.01,20.76299651,15.73856483,25.38833314,Amphibian
41.26,20.70406201,15.60639889,25.26722772,Amphibian
41.51,20.65074346,15.53160233,25.20497532,Amphibian
41.76,20.58609666,15.53587961,25.21276792,Amphibian
42.01,20.52017171,15.46225257,25.13396177,Amphibian
42.26,20.47390722,15.40222992,25.10704343,Amphibian
42.51,20.41332305,15.3323556,25.05503616,Amphibian
42.76,20.35424569,15.31810626,25.0508326,Amphibian
43.01,20.28587844,15.27005749,25.02312287,Amphibian
43.26,20.23186787,15.20277853,24.99541315,Amphibian
43.51,20.1777371,15.02518241,24.86331819,Amphibian
43.76,20.12023858,14.89740127,24.74878722,Amphibian
44.01,20.05060887,14.92234839,24.79502945,Amphibian
44.26,19.99513834,14.86026221,24.74861407,Amphibian
44.51,19.94066904,14.60014711,24.53032455,Amphibian
44.76,19.88445319,14.54210372,24.47044216,Amphibian
-42.98,20.29382833,15.27582334,25.02672979,Reptile
-42.73,20.36272259,15.32387211,25.05755987,Reptile
-42.48,20.41921382,15.34074052,25.06127704,Reptile
-42.23,20.48072972,15.40886354,25.10957722,Reptile
-41.98,20.52972835,15.46801843,25.13728694,Reptile
-41.73,20.5933263,15.54069566,25.21833777,Reptile
-41.48,20.65804307,15.54126215,25.21244561,Reptile
-41.23,20.71311685,15.61216474,25.27469801,Reptile
-40.98,20.77058832,15.74667224,25.39300183,Reptile
-40.73,20.82626815,15.79938788,25.43574618,Reptile
-40.48,20.87770513,15.84864347,25.47733519,Reptile
-40.23,20.93454324,15.92699836,25.55551095,Reptile
-39.98,21.00216859,15.98489798,25.62252153,Reptile
-39.73,21.06195589,16.07964871,25.71619265,Reptile
-39.48,21.11185765,16.10069721,25.73905044,Reptile
-39.23,21.1636988,16.23141554,25.84546897,Reptile
-38.98,21.22307329,16.28716616,25.86951371,Reptile
-38.73,21.28996359,16.35401703,25.91480525,Reptile
-38.48,21.34943615,16.41531778,25.97468763,Reptile
-38.23,21.40885867,16.47661852,26.03462694,Reptile
-37.98,21.4639161,16.52036089,26.10708827,Reptile
-37.73,21.52250516,16.59297927,26.17186468,Reptile
-37.48,21.59138603,16.64833653,26.21421717,Reptile
-37.23,21.64963875,16.69821124,26.27409955,Reptile
-36.98,21.7080189,16.75905105,26.33550344,Reptile
-36.73,21.76249071,16.81440831,26.42328403,Reptile
-36.48,21.82447338,16.86976557,26.4574936,Reptile
-36.23,21.87586336,16.96702448,26.54228919,Reptile
-35.98,21.93079094,17.01599263,26.5819984,Reptile
-35.73,21.98411391,16.6098521,26.17148191,Reptile
-35.48,22.04565117,16.64515681,26.19107358,Reptile
-35.23,22.10588393,16.64608176,26.18029178,Reptile
-34.98,22.15882373,16.71576623,26.22717921,Reptile
-34.73,22.21607751,16.7882419,26.29994435,Reptile
-34.48,22.27521745,16.86754265,26.37546976,Reptile
-34.23,22.33407051,16.93378168,26.44440955,Reptile
-33.98,22.40478959,16.95604058,26.48656885,Reptile
-33.73,22.4724279,17.01197347,26.55747373,Reptile
-33.48,22.5247066,17.06790636,26.65327735,Reptile
-33.23,22.58033819,17.54138279,27.08167254,Reptile
-32.98,22.63363394,17.60608718,27.10040049,Reptile
-32.73,22.69765623,17.66398679,27.14096453,Reptile
-32.48,22.76221588,17.7218864,27.21301968,Reptile
-32.23,22.81851567,17.72026295,27.21502005,Reptile
-31.98,22.87507388,17.7970554,27.28387416,Reptile
-31.73,22.9334405,17.87384786,27.37004767,Reptile
-31.48,22.99853474,17.93939931,27.46261148,Reptile
-31.23,23.0586357,17.94561269,27.51550996,Reptile
-30.98,23.11772376,17.90102675,27.48924938,Reptile
-30.73,23.18692629,17.97093102,27.55093798,Reptile
-30.48,23.23801974,18.03857113,27.61316376,Reptile
-30.23,23.29887103,18.10621124,27.67431519,Reptile
-29.98,23.3573369,18.17385134,27.73600379,Reptile
-29.73,23.41983949,18.212314,27.78654519,Reptile
-29.48,23.47978991,18.26046916,27.844339,Reptile
-29.23,23.53314788,18.90829989,28.49294084,Reptile
-28.98,23.58366888,18.95719146,28.54562633,Reptile
-28.73,23.62977223,18.44762608,28.04444681,Reptile
-28.48,23.68148312,19.04978364,28.65649001,Reptile
-28.23,23.74151292,19.08867577,28.6936601,Reptile
-27.98,23.80122322,19.1275679,28.76095706,Reptile
-27.73,23.86503881,18.52084028,28.14790632,Reptile
-27.48,23.92655314,18.55803615,28.20338463,Reptile
-27.23,23.98473619,19.12603237,28.77337306,Reptile
-26.98,24.04848656,19.21658606,28.84821637,Reptile
-26.73,24.10537891,18.91825025,28.53795564,Reptile
-26.48,24.16110544,18.96092132,28.59964424,Reptile
-26.23,24.21096742,19.00988888,28.66771252,Reptile
-25.98,24.26297135,19.37743262,29.04759054,Reptile
-25.73,24.31909285,19.40310264,29.0798093,Reptile
-25.48,24.37267915,19.45145835,29.13244789,Reptile
-25.23,24.43193983,19.49981406,29.18508649,Reptile
-24.98,24.49158379,19.54816977,29.21761805,Reptile
-24.73,24.55199039,19.59429359,29.27166301,Reptile
-24.48,24.60991574,19.6619337,29.34949762,Reptile
-24.23,24.65988869,19.67967563,29.37975294,Reptile
-23.98,24.72031895,19.62932615,29.32555155,Reptile
